pmid,age,Sex,Condition,Eligibility,Samplesize,Intervention Participant,Control Participant,Drug,Surgical,Physical,Educational,Psychological,I_other,Control,Mortality,Adverse_Event,life impact,clinical,O_other,,,,,,,,,,,,,,,,
29804638,45-60 years,female,"Association grade 2 or worse congestive heart failure; or significant peripheral vascular disease. Patients were also excluded if they had known prior history of interstitial pneumonitis, baseline hypoxemia (grade 2 or greater), baseline dyspnea (grade 2 or greater) or uncontrolled diabetes (baseline HgbA1C > 8).","FIGO stage III or IVA (with measurable disease) or Stage IVB or recurrent (with or without measurable disease) endometrial cancer; histologic confirmation of the original primary tumor via central pathology review; measurable disease defined by RECIST 1.1.; GOG performance status 0, 1, or 2; adequate bone marrow function (platelet count ? 100,000/?L; absolute neutrophil count ? 1,500/?L); renal function (creatinine ? 1.5× institutional upper limit of normal [ULN]), hepatic function (bilirubin ? 1.5× ULN; ALT, AST, alkaline phosphatase ? 2.5× ULN), and neurologic function (neuropathy grade <1); baseline urine protein:creatinine ratio (UPCR) was required to be less than 1; International normalized ratio (INR) and PTT were required to be ?1.5× ULN (or an in therapeutic range INR, usually between 2 and 3, on therapeutic warfarin); Fasting cholesterol and triglycerides had to be grade 1 or less (<300 mg/dl and ? 2.5* ULN, respectively); no active bleeding or pathologic conditions that carried a high risk of bleeding; no known brain metastases or poorly controlled seizures; no major surgery or significant traumatic injury within 28 days before study entry; no history of abdominal fistula or perforation within the past 3 months; no current serious nonhealing wound, ulcer, or bone fracture; hypertension permitted on study provided blood pressure was ? 150/90 mmHg; use of blood pressure medications to achieve and maintain blood pressure control was permitted; excluded for a history of myocardial infarction, unstable angina, cerebrovascular accident, transient ischemic attack, or subarachnoid hemorrhage within 6 months of the first date of study treatment; excluded for a history of New York Heart Association Class III or IV heart failure.",100,58,42,ixabepilone,,,,,carboplatin,"Historical reference Arm (PC: paclitaxel and carboplatin), assessed by date of last contact; censored at 36 months for OS analysis",,incidence of IRs during the first treatment cycle, incidence of grade ?3 IRs, IRs in cycle 2,,"patient and tumor characteristics were well balanced between Arms, although there was an imbalance of histologic type (Table 1); evidence of MMR loss found in 24% of 240 evaluable cases predominantly restricted to endometrioid cases; response rate among the sequenced cases not different between tumors with and without MMR loss","Accrual of 349 patients from 47 main members and Community Clinical Oncology Program (CCOP) sites was completed in 2.3 years, from 9/14/09 to 1/9/12; tumor tissue received from 325 patients, with corresponding matched normal DNA available for 282 patients",,,,,,,,,,,,,,
29802320,55 years,47% male,"CRC, polyps, ovarian/endometrial cancer",Patients with personal and/or family history of colon cancer and/or polyposis or other features of Lynch syndrome, excluded those with a history of genetic testing for colon cancer or polyps and those with a high probability that their condition was due to one specific gene.,184,122,0,,,,educational component,,"genetic testing including IHC, MSI, germline sequencing, and CRC risk gene panel (ColoSeq)",usual care,deaths (25.43%) with 42 of 89 deaths (47.19%) from PC,,,"PCSM (AHR: 2.70 [95% CI: 1.27, 5.76], p = 0.01) and ACM risk (AHR: 1.90 [95% CI: 1.11, 3.26], p = 0.02)","$400 (95% CI: $300, $500), 34%; $1245 (95% CI: $1027, $1462), 73%; $1541 (95% CI: $1224, $1859), 80%",,,,,,,,,,,,,,,
29670295,<65 years,women,adenocarcinoma,former smokers,,not specified,not specified,?-carotene and retinyl palmitate,,,,,chemoprevention trial,placebo,,incidence of postoperative complications,systemic immunity by increasing circulating T cells,,,,,,,,,,,,,,,,,,
29669529,,,Head and Neck Cancer (HNC),"416 HNC eligible patients; first occurrence of HNC treated curatively; all sites, stages, treatments; translation services provided for non-English speakers; excluded: palliative intent, history of previous HNC or recurrence, cognitive impairment, psychoses, dementia",416 patients,7,7,,curative treatment for HNC,,Patient-Centered Intervention (PCI),social-emotional support,translation services,34,,,,PAM50 intrinsic subtype,,,,,,,,,,,,,,,,,
29668860,not specified,not specified,"advanced, recurrent, or metastatic ALK-positive NSCLC","histologically/cytologically confirmed; two prior lines of systemic therapy (including one line of PDC and one of crizotinib); measurable disease (RECIST v1.1); ECOG PS 0–2; CNS metastases allowed if asymptomatic, or symptomatic and ineligible for radiotherapy",107,patients with PD-L1 combined positive score (CPS) ? 1, patients with PD-L1 CPS ? 5,chemotherapy,alectinib,,,,,"chemotherapy (pemetrexed 500 mg/m2 or docetaxel 75 mg/m2, every 3 weeks)","chemotherapy (pemetrexed 500 mg/m2 or docetaxel 75 mg/m2, every 3 weeks)",,all-grade and serious AEs,quality-adjusted survival,CNS progression,cumulative incidence rate (CIR),,,,,,,,,,,,,,,
29663363,not mentioned,female,cervical cancer,HPV-positive women stratified for methylation or cytology status at baseline,1040,35,1005,,Surgical resection,moderate-intensity aerobic physical activity per week (150 to 300 min),,,"Nucleo-Spin 96 Tissue kit (Macherey-Nagel, Duren, Germany), Microlab Star robotic system (Hamilton, Planegg, Germany), EZ DNA Methylation Kit (Zymo Research, Irvine, CA), QIAsure Methylation Test (Qiagen, Hilden, Germany), Rotorgene PCR-system (Qiagen)",cytology,,,health-related quality of life (HRQoL),,,,,,,,,,,,,,,,,,
29659913,over 20 years,"Male: 61.4% (54/88) in hydromorphone group, Female: 38.6% (34/88); Male: 73.8% (62/84) in oxycodone group, Female: 26.2% (22/84)",advanced biliary tract cancer (aBTC),"enrolling 183 patients; non-opioid analgesics users, no opioid use within 2 weeks, VAS ?35 mm, ECOG PS ?3, contraindications to oxycodone/morphine, no MAOI in last 14 days, not in another trial in last 28 days, no Grade 3 hepatic/renal/respiratory disorder","n = 338 (intervention), n = 342 (control)",n = 330,n = 342,"hydromorphone immediate-release tablets (DS-7113b; Daiichi-Sankyo, Tokyo, Japan) and oxycodone immediate-release powder (OxiNorm® Powder; Shionogi, Osaka, Japan), oral morphine hydrochloride solution",,,,,Magnesium oxide at 2 g/day and prochlorperazine maleate at 15 mg/day,oxycodone,"8.0% (7/88) in the hydromorphone group and 9.5% (8/84) in the oxycodone group; all other patients improved or recovered after discontinuing the study drug, or with appropriate medical intervention, except for the patients with aspiration pneumonia and abnormal hepatic function, both of whom died.","serious adverse events (including death); incidence: hydromorphone group - 8.0% (7/88), oxycodone group - 9.5% (8/84); no significant intergroup difference; causally related to study drug: hydromorphone group - somnolence, aspiration pneumonia, toxic skin eruption, nausea/vomiting; oxycodone group - somnolence, aspiration pneumonia, abnormal hepatic function",,"improvements in sleep at completion/discontinuation of treatment compared with baseline; significant difference observed in both groups (Wilcoxon signed rank test: P < 0.0001 for hydromorphone group, P = 0.0012 for oxycodone group); no significant intergroup difference",non-inferiority of hydromorphone relative to oxycodone suggested based on VAS score change and least squares mean for change in VAS score at completion/discontinuation of treatment,,,,,,,,,,,,,,,,
26231757,18 years and older,Both male and female participants,"Patients with head and neck cancer (HNC), specifically T1/T2 glottic carcinoma undergoing small-field radiotherapy or T1/T2 tonsil cancer undergoing unilateral treatment","Recruited from large radiotherapy departments within Australian hospitals; inclusion criteria: pathologically confirmed diagnosis of HNC requiring definitive or postoperative radiotherapy with curative intent, chemoradiation including neoadjuvant and adjuvant chemotherapy permitted; capacity to provide written informed consent; exclusion criterion: presence of organic brain diseases impairing ability to complete questionnaires satisfactorily",400 patients in total (approximately 80 participants per recruitment hospital),Not specified,Not specified,10 mL PEG hydrogel injection,"External beam radiation therapy (50.4 Gy/28 fractions or 45 Gy/25 fractions); Three-dimensional image guided brachytherapy plans delivered in a prescribed dose of 6 Gy × 5 fractions or 7 Gy × 4 fractions; Regional nodal irradiation included in PTV1 (as a minimum ipsilateral levels II-III), and receiving a prescribed dose of at least 60 Gy.",,"2-day workshop followed by booster training session, researchers accompanying dietitians during consultations to integrate learned skills, refresh EAT intervention skills, problem-solve clinical concerns, troubleshoot practice change issues; regular supervision with one researcher (clinical psychologist), individual supervision via telephone fortnightly for first 2 months post-training, group supervision introduced during 2-month ‘booster’ visit, monthly thereafter via skype/teleconference. Training will combine didactic and interactive components including opportunities for discussion, role play and facilitator-provided feedback.","Cognitive-behavioral therapy (CBT) strategies targeting behaviors around nutrition; dietitians trained in screening for symptoms of depression using the Patient Health Questionnaire-2 (PHQ-2); Additional support and feedback provided through academic detailing, ongoing formal and informal supervision with a clinical psychologist assisting implementation, barriers, and maintenance of system change. Audio tapes of dietetic consultations discussed during regular meetings.",Organic brain diseases,Treatment as usual,,Incidence of radiation-induced rectal complication,Changes in perirectal space and hydrogel volume, Quality of life (QOL) scores (QLQ-C30 and QLQ-CX24),,,,,,,,,,,,,,,,,
26231554,64-67 years,not specified,early stage (I or II) prostate cancer with incontinent symptoms after completion of cancer treatment for at least 6 months,"no concurrent hormonal treatment, no urinary tract infection or urinary retention, no cognitive impairment as per SPMSQ score <5, no implant to correct incontinence",244 patients,BF PFME plus a support group (81 subjects),BF PFME plus telephone and usual care (82 subjects),,surgery with and without radiotherapy vs radiotherapy alone,telephone,BF PFME,PST (supportive psychotherapy),UC,usual care,,Rates of adverse events of grade 3 or higher,,disease-free survival (DFS), overall survival (OS),13% attrition rate,,,,,,,,,,,,,,,
26222764,"40-59 years, median age: 49",female (no explicit male data),"triple-negative breast cancer (TNBC), stage II and III",42%,404 patients,258,196,"paclitaxel (P), doxorubicin plus cyclophosphamide (AC), carboplatin (Cb)","ICG-guided lymphadenectomy, BCT, partial mastectomy, Mastectomy with or without reconstruction, sentinel lymph node (SLN) procedure, axillary SLN and/or axillary lymph node dissection",,,,"sentinel lymph node (SLN) procedure, axillary SLN and/or axillary lymph node dissection",no concurrent carboplatin group,"5-year overall survival (OS) rate, 5-year disease-free survival (DFS) rate, and related recurrence patterns",cumulative recurrence rate,cumulative incidence of locoregional recurrence,,,,,,,,,,,,,,,,,,
26222482,postmenopausal,female,healthy women,"randomised to control group or annual screening, with socio-demographic details and highest education level, personal and family history of breast & OC and use of oral contraception recorded; participants completed STAI and GHQ-12 questionnaires",202638,annual screening (MM),control group,,surgery following an abnormal screen result,repeat blood test,,"psychosocial questionnaires; Spielberger State/Trait Anxiety Inventory (STAI), General Health Questionnaire 12 (GHQ-12); STAI trait scores used to create a three-level factored variable: low, medium, and high. Low and high anxiety defined as scores lower or higher than one standard deviation from the sample mean","cancer diagnosis, removal of ovaries",annual screening with imputation using last value carried forward for two years if necessary,,Grade 3/4 adverse events,objective response rate,overall survival,patient-reported outcomes,,,,,,,,,,,,,,,,
26222057,included as covariate,gender included as covariate,"Patients with progressive chronic non-malignant diseases (CNMD) such as chronic obstructive pulmonary disease, congestive heart failure and dementia",No exclusion based on missingness > 2%,520 patients,GPs who participated in the intervention group of the trial,not specified,"capecitabine 1000mg/m2 b.i.d., oxaliplatin 130mg/m2, bevacizumab 7.5mg/m2, cetuximab (loading dose of 400mg/m2 followed by 250mg/m2 once weekly)",,,a timely SPHC nurse-patient consultation followed by an interprofessional telephone case conference between general practitioners and SPHC teams,a timely SPHC nurse-patient consultation followed by an interprofessional telephone case conference between general practitioners and SPHC teams,,general practice care as usual,,,,,,,,,,,,,,,,,,,,,
29793446,18-75 years,,multiple myeloma,"cancer patients at nutritional risk undergoing first autologous HCT; not on contraindicated medication or ?-blocker within 3 weeks of study commencement; ?1 year of initiation of systemic anti-myeloma therapy; no prior progression or relapse of myeloma prior to HCT; stable disease, partial response, or very good partial response at the time of HCT; able to receive melphalan 200 mg/m2 as a conditioning regimen; available hematopoietic cell graft with > 2.0 × 10^6 CD34+ cells/kg available for transplant; Karnofsky Performance Score (KPS) of ?80%; exclusion criteria: previous intolerance to ?-blocker therapy, contraindications to ?-blocker therapy, and active, untreated depression.",Twenty-five,12,13,propranolol,autologous HCT for multiple myeloma,,,untreated depression,,no propranolol continuation,,intervention-related hypotension (33%),"TUG test, gait speed, grip strength, upper-limb muscle mass",,"calf circumference, hsCRP, 25(OH)VD3, Alb",,,,,,,,,,,,,,,,
29792232,67 years old,,adult high-risk patients undergoing noncardiac surgery,"included if no declined consent, emergency surgery, enrolled in another study, weight under 55 kg or over 140 kg, active bleeding, contraindication to invasive hemodynamic monitoring, hemodynamic instability (norepinephrine higher than 1 ?g/kg/min), surgery for palliative treatment only, presence of cardiac arrhythmia (atrial fibrillation, frequent ectopy or other dysrhythmias)",128,55,110,dobutamine,Goal-Directed Resuscitation in Cancer Surgery (GRICS II),,Snyder's Hope Theory-based nursing intervention,,,"standardized ICU management including temperature (36 °C), oxygen saturation ? 95%, MAP ? 65 mmHg, HR between 70 and 100 bpm, ScvO2 > 70%, lactate level < 3 mmol/L, hematocrit value > 28%, urinary output > 0.5 ml/kg/h, normoglycemia (140–180 mmol/L), administration of additional fluids and vasoactive drugs guided by HR, MAP, urine output, ScvO2, serum lactate and base excess, analgesia provided mostly by epidural infusion with intravenous morphine as alternative when necessary, cardiac output monitored using Vigileo - Edwards LTDA (Irvine, CA, USA) with CI and SVI values used as goals for hemodynamic intervention; fluid resuscitation initiated with 200 ml Ringer lactate solution plus 50 ml of 20% albumin solution if SVI < 35 ml/m2, repeated based on responsiveness and discontinued if SVI ? 35 ml/m2, positive response defined by ?15% increase in CI from baseline; additional interventions include dobutamine infusion started at 3 ?g/kg/min and titrated every 15 min up to a maximum dose of 20 ?g/kg/min for CI < 2.5 L/min/m2, RBC transfusion 1 unit at a time to achieve hematocrit > 24% if initial interventions do not result in CI ? 2.5 L/min/m2",0.85,"septic shock, AKI needing RRT",scores of Self-rating Anxiety Scale and Self-rating Depression Scale,"HR, MAP, ScvO2, lactate levels, base excess and PCO2 gap; Table 3",-1.6 (95% CI -2.75 to -0.46, p for effect = 0.006),,,,,,,,,,,,,,,
29791437,? 18 years,Female,Breast cancer post-surgery,"Women diagnosed with breast cancer, needing uni- or bilateral ablative or breast conserving surgery; exclusion criteria: local inflammation or ulceration of the breast, previous breast surgery in the previous 3 months, use of antibiotics in the previous 2 weeks, neo-adjuvant chemotherapy, intended immediate reconstructive surgery, a known allergy for Aquacel or silver, inability to read or understand Dutch language to give informed consent or fill out questionnaires; written informed consent required",236 patients (randomization ratio 1:1),Aquacel (AQUACEL Ag Surgical),Standard wound dressing,,uni- or bilateral ablative or breast conserving surgery,,,,neo-adjuvant chemotherapy,standard wound care,,"['SSI rate was 7/65 (10.8%) in controls', 'no important harms or unintended effects in both groups.']","['patient satisfaction was significantly higher', 'need for changing the dressing within the first 48 hours was lower']","['use of post-operative drain (p = 0.016)', 'prolonged drainage time (>3 days) (p = 0.002)', 'operation time (p = 0.050)', 'high clinical TNM stage (3 or more) (p = 0.015)', 'any axillary procedure (p = 0.013)', 'interaction breast conserving surgery*Aquacel resulted in an adjusted OR 0.13 [0.02–1.14] p = 0.065']","['adjusted OR 5.722 [1.406–23.297] p = 0.015', 'adjusted OR 2.979 [1.022–8.685] p = 0.046', 'Mean wound-related treatment costs were significantly lower in the Aquacel group than in the controls, both in the high (€265.42 (SD = 908) vs. €470.65 (SD = 1223) [p<0.001]) and low (€59.12 (SD = 129) vs. €67.55 (SD = 172) [p<0.001])']",,,,,,,,,,,,,,,,
29791287,,female,triple negative breast cancer (TNBC),HER2-negative breast cancer patients who completed at least one cycle of chemotherapy or bevacizumab,528,233,260,bevacizumab,,remotely supervised HIIT program,,,,bevacizumab-negative arm,,,quality of life (QoL) and physical health outcomes, 6MWT and sit-to-stand test,,EORTC QoL30,,,,,,,,,,,,,,,
29791275,> 18 years old,women,"newly diagnosed stage III/IV or recurrent (any stage) epithelial ovarian, primary peritoneal or fallopian tube cancer with confirmed pathology","newly diagnosed stage III/IV or recurrent (any stage) epithelial ovarian, primary peritoneal or fallopian tube cancer with confirmed pathology; > 18 years old; > 5th grade education; ability to read/write English; and computer/internet access",n = 206 (intervention) + n = 212 (control),206,212,,,,Stress and distress management skills,cognitive behavior therapy (CBT),Threatening Medical Situations Inventory (TMSI),intravenous formulation of amivantamab,Numerically prolonged survival,"5-fold reduction in infusion-related reactions; Few participants who received subcutaneous amivantamab reported moderate-to-very severe injection-site pain, swelling, or redness",More participants who received subcutaneous versus intravenous amivantamab reported feeling unrestricted or unbothered by administration, Most subcutaneous amivantamab recipients preferred and were more satisfied with its administration versus historical experience with intravenous therapies and would recommend it,,Substantially faster administration, Reduced venous thromboembolism, Time-in-chair was substantially lower for subcutaneous versus intravenous amivantamab,,,,,,,,,,,,,
26219670,?18 years,not specified,"Resectable gastric adenocarcinoma, Siewert type I tumor","Patients with histologically proven, surgically resectable (cT1-4a, N0-3b, M0) gastric adenocarcinoma, ECOG performance status 0 or 1, and Siewert type I tumor (tumor located between 1 and 5 cm proximal from the esophago-gastric junction)",210,105,105,perioperative chemotherapy,laparoscopic versus open gastrectomy,Mobilization under supervision starts immediately, liquid oral feeding can be initiated on postoperative day 1,One day course on minimally invasive gastrectomy,,ERAS Society protocol, epidural analgesia (initiated after open procedures), other analgesia according to local hospital's preference,open gastrectomy,,,,cancer screening behaviors,,,,,,,,,,,,,,
26219446,?50 years,male,metastatic hormone-sensitive prostate cancer (HSPC),"no surgical castration history, no localized prostate adenocarcinoma, no secondary malignancy, ?5 years education level, cognitive impairment score <=23 on mini-mental status examination, no active suicidal ideation, panic attacks, post-traumatic stress disorder, psychosis, or alcohol/drug dependence within the past 3 months",790 patients,395,395,hormonal therapy (luteinizing hormone-releasing hormone agonists or maximal androgen blockade therapy),,"activity training, recreational activity group program, stress-management skills, relaxation skills",under 5 years,"cognitive impairment or active psychiatric symptoms, including panic attacks, post-traumatic stress disorder, psychosis, or alcohol/drug dependence within the past 3 months",OT-CBSM (occupational therapy-based cognitive behavioral social skills training),no,10-year overall survival (OS), median OS,,occupational performance score, satisfaction score, EORTC-QLQ-C30,,,,,,,,,,,,,,,
26216071,"median age, 60 [range, 36-83] years",female (45%), male (55%),advanced non-small-cell lung cancer patients,"recurrent or refractory disease after at least one previous regimens; achievement of SD after one-month of gefitinib therapy; measurable lesions defined by RECIST; ECOG PS of 0 to 2; satisfactory renal, hematological and cardiac function. Major exclusion criteria: previous EGFR-TKIs therapy, pregnancy, breast-feeding or unable to take oral medications. Patients with stable BM were allowed.",96 intention-to-treat patients,"H group (gefitinib at 500 mg/d), n=48","S group (gefitinib at 250 mg/d), n=48",gefitinib,,,,,,gefitinib at 250 mg/d (S group) vs gefitinib at 500 mg/d (H group),Two deaths in H group and five in S group were attributed to disease progression,"acne-like rash, diarrhea and abnormal aminotransferases; Forty-one out of 48 (85.4%) patients in H group and 33 out of 48 (68.8%) patients in S group had rash events (p = 0.057); Seven out of 48 (14.6%) patients in H group and none of 48 in S group had grade 3/4 acne-like rash (p = 0.006); No severe adverse events were observed",major pathological response (38% vs 37%) and complete response (30% vs 22%) rates,"PFS was significantly longer in patients with MT EGFR than those with WT EGFR (median PFS: 11.47 months vs 4.50 months, p < 0.001)",,,,,,,,,,,,,,,,
26209502,42-81 years,men,"high risk, clinically and radiographically non-metastatic prostate cancer","histologically confirmed prostate cancer with PSA 20–100 ng/ml and Gleason Score (GS) ? 7 with any T-Stage, or clinical T-Stage ?T2 and GS 8–10 with any PSA?10; negative lymph nodes by CT or MR; no evidence of distant metastasis; Zubrod performance status was 0–1; no prior pelvic RT or orchiectomy allowed; Prior AS allowed only if started no greater than 30 days prior to protocol entry; medical oncology consultation required prior to protocol entry",397 (of 1440 planned),n=197 (AS+RT arm),n=200 (AS+RT+CT arm),"paclitaxel 135 mg/m2, estramustine 280 mg three times a day, etoposide 50 mg/m2 twice a day",,,nurse-led intervention with the assistance of community health workers (CHWs),,Komen breast health toolkit for educational purposes,AS + RT,,toxicity,breast cancer screening behavior, awareness regarding breast cancer and screening practice,"OS, BF, LP, DM, DFS",partial or complete chemotherapy receipt,,,,,,,,,,,,,,,
26207902,60.5 years (SD = 8.1),73.0% male,advanced NSCLC (stage IIIb or IV),"chemotherapy naive, MUC1 positive, PS 0 or 1, life expectancy ? 4 months, no prior systemic therapy for advanced stage NSCLC, no concomitant brain metastases unless treated, no history of malignancy within the past 5 years except basal-cell carcinoma or intraepithelial carcinoma",118 patients (59 in arm 1 and 59 in arm 2),"arm 1 (TG4010 group, combination therapy)",arm 2 (chemotherapy alone),TG4010,,,,,ADT,chemotherapy alone,118,definitive deterioration of LCS score of 5 points or death,LCS score,"median TUDD (97 days for arm 1, 147 days for arm 2), log-rank P = 0.444, Univariate Cox HR was 1.22",,,,,,,,,,,,,,,,,
29658845,,mixed,locally advanced rectal cancer,"Adult patients with histologically confirmed squamous or nonsquamous stage IV or recurrent NSCLC and an Eastern Cooperative Oncology Group (ECOG) performance-status score of 0 or 1 who had received no previous systemic anticancer therapy as primary therapy for advanced or metastatic disease. Patients underwent imaging to screen for brain metastases. Patients with known EGFR mutations or ALK translocations sensitive to targeted therapy, an autoimmune disease, or untreated central nervous system metastases were excluded. Patients with central nervous system metastases were eligible if they were adequately treated and neurologic findings had returned to baseline (except for residual signs or symptoms related to the central nervous system treatment) for at least 2 weeks before randomization.",1739,139,160,nivolumab plus ipilimumab,,,,,chemotherapy,platinum doublet chemotherapy,1.2,17.4% treated with nivolumab plus ipilimumab and 8.9% treated with chemotherapy were discontinued due to adverse effects of trial drugs,,,909,,,,,,,,,,,,,,,,
29656304,18+ years,not specified,"biopsy-proven adenocarcinoma of the rectum located up to 12 cm from the anal verge, cT3-4 or N-positive category, M0, preoperative short-course radiotherapy with 5 × 5 Gy, ypN1–2 stage and other poor prognostic factors","age ? 18 years, WHO performance score 0-1, leukocytes ? 3.5 × 10^9/L, neutrophils/granulocytes ? 1.5 × 10^9/L, hemoglobin ? 9.0 g/dL, signed informed consent, no other synchronous primary cancer, allergy to gentamicin or collagen, pregnancy, ulcerative colitis or Crohn’s disease",n = 162,81,81,gentamicin,R0-1 resection,,,,"short-course radiotherapy (25 Gy in five fractions delivered in 5 days), intravenous injections of metronidazole 500 mg and cefuroxime 1500 mg three times a day",usual care,30.9,respiratory tract infections,,"R1 resection rate, quality of mesorectal resection, risk of distant metastases, local recurrence",postoperative chemotherapy,,,,,,,,,,,,,,,,
29654645,not specified,mixed,"advanced or recurrent squamous cell carcinoma of cervix (stages IIB, IIIA, IIIB) or advanced (stage III or IV) or recurrent head and neck squamous cell carcinoma",written informed consent obtained from all patients prior to participation, lost at least 5% body mass over past 12 months, ambulatory with some activity (Eastern Cooperative Oncology Group score of 0 or 1), Mini Mental State Examination >23 points,19 patients,4,7,Testosterone,percutaneous endoscopic gastrostomy (PEG) tube,Short Physical Performance Battery (SPPB),pranayama breathing exercise,,brachytherapy,available for nine placebo patients,56%,,,symptom burden,,,,,,,,,,,,,,
29654415,,pre-menopausal patients,de novo stage IV BC patients, with single-organ metastasis,not provided,668,334,334,ribociclib (600 mg/day) + letrozole (2.5 mg/day),,,,,,placebo in combination with letrozole,disease progression or death,,overall health-related quality of life (HRQoL),progression-free survival (PFS),compliance rates,,,,,,,,,,,,,,,
29651778,65 years,female,"Stage I endometrial cancer, post-primary treatment",attending outpatient clinics for routine monitoring and surveillance, returned the 6-month RUQ and had undergone at least one follow-up consultation (for six-month analysis), underwent at least one follow-up consultation and returned both 6- and 12-month RUQs (for twelve-month analysis),259,129,130,,,,16-week qigong Baduanjin,State Trait Anxiety Inventory (STAI),telephone follow-up intervention,standard hospital outpatient follow-up,reversal of frailty status,True,"physical frailty severity, multidimensional frailty severity, physical performance, psychological well-being and quality of life",,cost,,,,,,,,,,,,,,
29637645,55.62 ± 9.55 years,female (100%),breast cancer survivors (Stage 0-3),Completed surgery, able to read and speak English, able to walk half-mile unassisted and without stopping, sedentary (<30 minutes/week of vigorous PA or <90 minutes/week of moderate-intensity PA) for the past six months, had access to a telephone, no medical or psychiatric problems interfering with protocol adherence,"76 participants, 18 coaches",RTR+PA group (stratified by age and chemotherapy status),RTR Control group (stratified by age and chemistry status),poly (ADP-ribose) polymerase inhibitors,breast cancer surgery,12-week PA program,RTR+PA,Transtheoretical approach and Social Cognitive Theory,coach training,RTR Control,overall survival (OS),,,,,,,,,,,,,,,
29636539,65.2 years (SD = 10.1, range = 25 to 86),"adult Chinese, female: 36.8%","CRC survivors, colon cancer: 59.6%, rectal cancer: 39.9%, synchronous colon and rectal cancers: 0.4%","Age, sex, body mass index, American Society of Anesthesiologists (ASA) classification, comorbidities, educational attainment, dietary and physical activity targets as reflected by FFQ and GPAQ",223,"112 in Esk group, 112 in NS group",112,esketamine,,PA interventions,Theory of Planned Behavior (TPB) and Health Action Process Approach (HAPA),,dietary interventions,usual care,17-item Hamilton Rating Scale for Depression (HAMD-17) scores on days 7 and 30 after surgery,,sleep quality and cognitive function,"Mini-Mental State Examination (MMSE) scores on days 1, 3, 7, and 30 after surgery","Pittsburgh Sleep Quality Index (PSQI) score on day 30 after surgery; levels of serum brain-derived neurotrophic factor (BDNF), 5-hydroxytryptamine (5-HT), S100? protein, and neuron specific enolase (NSE) at 24 hours (T1), 48 hours (T2), and 72 hours (T3) after surgery; perioperative data and postoperative safety outcomes",,,,,,,,,,,,,,,
29635717,similar baseline characteristics between the two groups (P > 0.05),,80 patients diagnosed with primary liver cancer,"randomly assigned to either the 5A nursing group or the conventional nursing group, with 40 patients in each group",80,40,40,,endoscopic therapy (EMR and ESD),,5A nursing model,,endoscopy screening under general anesthesia with 20 mL of 1% propofol,21878,significantly longer PFS and OS were observed in the 5A nursing group compared to the conventional nursing group (P < 0.05),lower lymph node metastasis incidence was observed in the 5A nursing group compared to the conventional nursing group at the 12th and 18th months (P < 0.05),higher quality of life scores in the 5A nursing group compared to the conventional nursing group (P < 0.05),"immune status, lymph node metastasis, and survival",,,,,,,,,,,,,,,,,
29635632,over 20 years,"85% male (conversion ratio 1:5), 60% male (conversion ratio 1:8)",cancer patients receiving opioid analgesics,"enrolled 71 patients at 39 sites in Japan; exclusion criteria: contraindicated or relatively contraindicated for morphine, treatment with monoamine oxidase inhibitor within 14 days of registration, participating in another clinical trial within 28 days of registration, serious hepatic, renal or respiratory disorders of Common Terminology Criteria for Adverse Events Grade 3",70 subjects (after excluding one subject),27,41,oral morphine hydrochloride solution,,,internet based acceptance and commitment therapy,,group video calls,active-controlled,,adverse drug reactions,reducing the severity and interference of symptoms with function,pain control ratio,,,,,,,,,,,,,,,,,
29633652,20-80 years,female,breast or gynecological cancer patients,"(1) diagnosis of breast or gynecological cancer, (2) age between 20 and 80 years, (3) scheduled to receive radiotherapy planned for 20 or more sessions, and (4) score of 70 or more points in the Karnofsky Performance Scale Index. Exclusion criteria: (1) already undergoing radiotherapy, (2) hemoglobin levels equal or less than 10 mg/dL, (3) undergoing psychotherapeutic treatment during the study period, (4) using antidepressants during the study period, and (5) diagnosis of other types of cancer.",119,45,74,,,,psychological flexibility training,"music therapy (30-40 minutes, twice a week)",musical stimuli,CG (Control Group),,,quality of life,,,,,,,,,,,,,,,,,,
29785635,? 18 years,87.5% male,Hospitalized cancer patients,"Diagnosed with cancer, WHO-performance score ? 1, able to read and comprehend Dutch language, possess a smartphone, no cardiac illness, psychiatric illness, severe kidney or liver impairment, pancytopenia, not participating in supervised PA program.",32 patients,"15 participants (Group A), one patient unable to use RunKeeper due to iPhone 3 compatibility issue",16 participants (Group B),Pharmacist-led interventions,,"Regular physical activity (PA) for at least 30 min per day, 5 days per week, with self-monitoring using GPS or stopwatch with RunKeeper app and 'training reminder' option activated.",,,RunKeeper use with semi-structured interview by telephone,,Significantly greater analgesic relief,,Measurable cost reductions,,,,,,,,,,,,,,,,,,
